,Classifier,Score,Explained variance score,Max error,Mean absolute error,Mean squared error,Median absolute error,R^2 score
,RandomForestRegressor,0.9362578652583718,0.9362679588942777,404.0,27.379169064058306,2127.018046944924,15.099999999999994,0.9362578652583718
,DecisionTreeRegressor,0.891376279882302,0.8913765475319283,599.0,35.341340621403916,3624.6764240506327,20.0,0.891376279882302
,AdaBoostRegressor,0.6593830915579522,0.7240496689254459,452.2314709236032,86.26266841750332,11366.081702275873,74.93868703202531,0.6593830915579522
,MLPRegressor,0.6065217013230729,0.6067368435318461,543.0257576225002,82.9561545114391,13130.019033084422,64.46992846645375,0.6065217013230729
,LinearRegression,0.4028787536036338,0.4029839701805461,620.7105630231504,104.44488089336254,19925.402129180035,81.16195092561338,0.4028787536036338
,SVR,0.3900821539403167,0.4495057936972715,691.5761289025488,91.44503547368545,20352.413218998925,53.07634217443923,0.39008215394031664
,GaussianProcessRegressor,-13.854958835214688,-13.852779211009763,36229.48495721817,176.85070995720508,495696.69508559257,78.57845540178869,-13.854958835214688
