,Classifier,Score,Explained variance score,Max error,Mean absolute error,Mean squared error,Median absolute error,R^2 score
,MLPRegressor,0.1070539807815253,0.10705818780440757,47.3262762369501,11.123339144673857,213.22974684941786,8.747216648101244,0.10705398078152528
,LinearRegression,0.06535019887095384,0.06589509729402099,51.082997598941695,11.966766851934839,223.18834083837743,9.690223618616844,0.06535019887095384
,AdaBoostRegressor,0.039695825962892006,0.04577805130501167,47.17857142857143,12.662601143448486,229.31443953083178,12.119521912350598,0.039695825962892006
,RandomForestRegressor,-0.0015996338844297406,0.0010451881317535827,49.8,11.86298076923077,239.17552884615387,9.15,-0.0015996338844297409
,SVR,-0.13710570425558188,0.0880628113323777,53.74950806678746,10.623839856948441,271.5335039755897,4.643993274948535,-0.13710570425558188
,GaussianProcessRegressor,-0.3688843932484464,-0.26752202481039,54.97967572099199,12.562712302816587,326.88075914594566,7.618210781846514,-0.36888439324844646
,DecisionTreeRegressor,-0.7393927731667019,-0.738803875342604,54.0,12.403846153846153,415.3557692307692,4.0,-0.739392773166702
