,Classifier,Score,Accuracy,f1 score,Precision,Recall
,LogisticRegression,0.8404255319148937,0.8404255319148937,0.8404255319148938,0.8404255319148937,0.8404255319148937
,SVC,0.8404255319148937,0.8404255319148937,0.8404255319148938,0.8404255319148937,0.8404255319148937
,MLPClassifier,0.8404255319148937,0.8404255319148937,0.8404255319148938,0.8404255319148937,0.8404255319148937
,KNeighborsClassifier,0.776595744680851,0.776595744680851,0.776595744680851,0.776595744680851,0.776595744680851
,RandomForestClassifier,0.7553191489361702,0.7553191489361702,0.7553191489361702,0.7553191489361702,0.7553191489361702
,GaussianNB,0.7127659574468085,0.7127659574468085,0.7127659574468085,0.7127659574468085,0.7127659574468085
,DecisionTreeClassifier,0.6382978723404256,0.6382978723404256,0.6382978723404256,0.6382978723404256,0.6382978723404256
,AdaBoostClassifier,0.23404255319148937,0.23404255319148937,0.23404255319148937,0.23404255319148937,0.23404255319148937
