,Classifier,Score,Accuracy,f1 score,Precision,Recall
,MLPClassifier,0.8202092511013216,0.8202092511013216,0.8202092511013216,0.8202092511013216,0.8202092511013216
,SVC,0.8064427312775331,0.8064427312775331,0.8064427312775331,0.8064427312775331,0.8064427312775331
,RandomForestClassifier,0.7915748898678414,0.7915748898678414,0.7915748898678415,0.7915748898678414,0.7915748898678414
,LogisticRegression,0.7824889867841409,0.7824889867841409,0.782488986784141,0.7824889867841409,0.7824889867841409
,AdaBoostClassifier,0.7797356828193832,0.7797356828193832,0.7797356828193832,0.7797356828193832,0.7797356828193832
,KNeighborsClassifier,0.7651431718061674,0.7651431718061674,0.7651431718061674,0.7651431718061674,0.7651431718061674
,DecisionTreeClassifier,0.7406387665198237,0.7406387665198237,0.7406387665198237,0.7406387665198237,0.7406387665198237
,GaussianNB,0.7202643171806168,0.7202643171806168,0.7202643171806168,0.7202643171806168,0.7202643171806168
