,Classifier,Score,Accuracy,f1 score,Precision,Recall
,AdaBoostClassifier,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158
,LogisticRegression,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
,SVC,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
,RandomForestClassifier,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
,MLPClassifier,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
,KNeighborsClassifier,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193
,DecisionTreeClassifier,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.9385964912280702
,GaussianNB,0.9035087719298246,0.9035087719298246,0.9035087719298246,0.9035087719298246,0.9035087719298246
