,Classifier,Score,Accuracy,f1 score,Precision,Recall
,AdaBoostClassifier,0.8621706283397825,0.8621706283397825,0.8621706283397825,0.8621706283397825,0.8621706283397825
,SVC,0.851667587985996,0.851667587985996,0.851667587985996,0.851667587985996,0.851667587985996
,LogisticRegression,0.8505620047908605,0.8505620047908605,0.8505620047908605,0.8505620047908605,0.8505620047908605
,RandomForestClassifier,0.8463853571647934,0.8463853571647934,0.8463853571647934,0.8463853571647934,0.8463853571647934
,MLPClassifier,0.8442970333517598,0.8442970333517598,0.8442970333517598,0.8442970333517598,0.8442970333517598
,KNeighborsClassifier,0.833302622689024,0.833302622689024,0.833302622689024,0.833302622689024,0.833302622689024
,DecisionTreeClassifier,0.8136478103310607,0.8136478103310607,0.8136478103310607,0.8136478103310607,0.8136478103310607
,GaussianNB,0.5511332227750139,0.5511332227750139,0.5511332227750139,0.5511332227750139,0.5511332227750139
